roll_no,cgpa,credits,due_subjects
20R21A0401,0.0,6.0, 20/25
20R21A0402,0.0,53.5, 1/25
20R21A0403,0.0,41.5, 5/25
20R21A0404,7.32,57.5, 0/25
20R21A0405,0.0,18.5, 12/25
20R21A0406,0.0,36.5, 6/25
20R21A0407,0.0,53.5, 1/25
20R21A0408,0.0,50.5, 2/25
20R21A0409,0.0,19.0, 11/25
20R21A0410,7.01,57.5, 0/25
20R21A0411,8.5,57.5, 0/25
20R21A0412,8.94,57.5, 0/25
20R21A0413,7.37,57.5, 0/25
20R21A0414,7.69,57.5, 0/25
20R21A0415,0.0,31.5, 7/25
20R21A0416,6.74,57.5, 0/25
20R21A0417,7.13,57.5, 0/25
20R21A0418,6.72,57.5, 0/25
20R21A0419,0.0,50.5, 2/25
20R21A0420,0.0,54.5, 1/25
20R21A0421,0.0,54.5, 1/25
20R21A0422,9.43,57.5, 0/25
20R21A0423,8.23,57.5, 0/25
20R21A0424,8.77,57.5, 0/25
20R21A0425,9.77,57.5, 0/25
20R21A0426,0.0,53.5, 1/25
20R21A0427,7.64,57.5, 0/25
20R21A0428,0.0,17.5, 12/25
20R21A0429,7.91,57.5, 0/25
20R21A0430,0.0,18.5, 11/25
20R21A0431,9.48,57.5, 0/25
20R21A0432,0.0,18.5, 11/25
20R21A0433,0.0,56.0, 1/25
20R21A0434,9.46,57.5, 0/25
20R21A0435,0.0,47.5, 3/25
20R21A0436,0.0,49.5, 2/25
20R21A0437,0.0,53.5, 1/25
20R21A0438,0.0,17.5, 11/25
20R21A0439,0.0,50.5, 2/25
20R21A0440,6.1,57.5, 0/25
20R21A0441,0.0,29.5, 8/25
20R21A0442,0.0,10.0, 16/25
20R21A0443,9.04,57.5, 0/25
20R21A0444,0.0,53.5, 1/25
20R21A0445,0.0,54.5, 1/25
20R21A0446,0.0,53.5, 1/25
20R21A0447,8.66,57.5, 0/25
20R21A0448,0.0,39.5, 5/25
20R21A0449,0.0,25.5, 9/25
20R21A0450,0.0,28.5, 8/25
20R21A0451,0.0,51.5, 2/25
20R21A0452,8.25,57.5, 0/25
20R21A0453,6.32,57.5, 0/25
20R21A0454,0.0,18.5, 11/25
20R21A0455,0.0,50.5, 2/25
20R21A0456,8.71,57.5, 0/25
20R21A0457,0.0,54.5, 1/25
20R21A0458,9.18,57.5, 0/25
20R21A0459,8.74,57.5, 0/25
20R21A0460,0.0,13.0, 13/25
21R25A0401,8.86,21.5, 0/9
21R25A0402,8.35,21.5, 0/9
21R25A0403,8.05,21.5, 0/9
21R25A0404,8.4,21.5, 0/9
21R25A0405,7.58,21.5, 0/9
21R25A0406,9.47,21.5, 0/9
